DATES,VT index,VT mktcap
2001/1/1,#N/A,#N/A
2001/1/2,#N/A,#N/A
2001/1/3,#N/A,#N/A
2001/1/4,#N/A,#N/A
2001/1/5,#N/A,#N/A
2001/1/6,#N/A,#N/A
2001/1/7,#N/A,#N/A
2001/1/8,#N/A,#N/A
2001/1/9,#N/A,#N/A
2001/1/10,#N/A,#N/A
2001/1/11,#N/A,#N/A
2001/1/12,#N/A,#N/A
2001/1/13,#N/A,#N/A
2001/1/14,#N/A,#N/A
2001/1/15,#N/A,#N/A
2001/1/16,#N/A,#N/A
2001/1/17,#N/A,#N/A
2001/1/18,#N/A,#N/A
2001/1/19,#N/A,#N/A
2001/1/20,#N/A,#N/A
2001/1/21,#N/A,#N/A
2001/1/22,#N/A,#N/A
2001/1/23,#N/A,#N/A
2001/1/24,#N/A,#N/A
2001/1/25,#N/A,#N/A
2001/1/26,#N/A,#N/A
2001/1/27,#N/A,#N/A
2001/1/28,#N/A,#N/A
2001/1/29,#N/A,#N/A
2001/1/30,#N/A,#N/A
2001/1/31,#N/A,#N/A
2001/2/1,#N/A,#N/A
2001/2/2,#N/A,#N/A
2001/2/3,#N/A,#N/A
2001/2/4,#N/A,#N/A
2001/2/5,#N/A,#N/A
2001/2/6,#N/A,#N/A
2001/2/7,#N/A,#N/A
2001/2/8,#N/A,#N/A
2001/2/9,#N/A,#N/A
2001/2/10,#N/A,#N/A
2001/2/11,#N/A,#N/A
2001/2/12,#N/A,#N/A
2001/2/13,#N/A,#N/A
2001/2/14,#N/A,#N/A
2001/2/15,#N/A,#N/A
2001/2/16,#N/A,#N/A
2001/2/17,#N/A,#N/A
2001/2/18,#N/A,#N/A
2001/2/19,#N/A,#N/A
2001/2/20,#N/A,#N/A
2001/2/21,#N/A,#N/A
2001/2/22,#N/A,#N/A
2001/2/23,#N/A,#N/A
2001/2/24,#N/A,#N/A
2001/2/25,#N/A,#N/A
2001/2/26,#N/A,#N/A
2001/2/27,#N/A,#N/A
2001/2/28,#N/A,#N/A
2001/3/1,#N/A,#N/A
2001/3/2,#N/A,#N/A
2001/3/3,#N/A,#N/A
2001/3/4,#N/A,#N/A
2001/3/5,#N/A,#N/A
2001/3/6,#N/A,#N/A
2001/3/7,#N/A,#N/A
2001/3/8,#N/A,#N/A
2001/3/9,#N/A,#N/A
2001/3/10,#N/A,#N/A
2001/3/11,#N/A,#N/A
2001/3/12,#N/A,#N/A
2001/3/13,#N/A,#N/A
2001/3/14,#N/A,#N/A
2001/3/15,#N/A,#N/A
2001/3/16,#N/A,#N/A
2001/3/17,#N/A,#N/A
2001/3/18,#N/A,#N/A
2001/3/19,#N/A,#N/A
2001/3/20,#N/A,#N/A
2001/3/21,#N/A,#N/A
2001/3/22,#N/A,#N/A
2001/3/23,#N/A,#N/A
2001/3/24,#N/A,#N/A
2001/3/25,#N/A,#N/A
2001/3/26,#N/A,#N/A
2001/3/27,#N/A,#N/A
2001/3/28,#N/A,#N/A
2001/3/29,#N/A,#N/A
2001/3/30,#N/A,#N/A
2001/3/31,#N/A,#N/A
2001/4/1,#N/A,#N/A
2001/4/2,#N/A,#N/A
2001/4/3,#N/A,#N/A
2001/4/4,#N/A,#N/A
2001/4/5,#N/A,#N/A
2001/4/6,#N/A,#N/A
2001/4/7,#N/A,#N/A
2001/4/8,#N/A,#N/A
2001/4/9,#N/A,#N/A
2001/4/10,#N/A,#N/A
2001/4/11,#N/A,#N/A
2001/4/12,#N/A,#N/A
2001/4/13,#N/A,#N/A
2001/4/14,#N/A,#N/A
2001/4/15,#N/A,#N/A
2001/4/16,#N/A,#N/A
2001/4/17,#N/A,#N/A
2001/4/18,#N/A,#N/A
2001/4/19,#N/A,#N/A
2001/4/20,#N/A,#N/A
2001/4/21,#N/A,#N/A
2001/4/22,#N/A,#N/A
2001/4/23,#N/A,#N/A
2001/4/24,#N/A,#N/A
2001/4/25,#N/A,#N/A
2001/4/26,#N/A,#N/A
2001/4/27,#N/A,#N/A
2001/4/28,#N/A,#N/A
2001/4/29,#N/A,#N/A
2001/4/30,#N/A,#N/A
2001/5/1,#N/A,#N/A
2001/5/2,#N/A,#N/A
2001/5/3,#N/A,#N/A
2001/5/4,#N/A,#N/A
2001/5/5,#N/A,#N/A
2001/5/6,#N/A,#N/A
2001/5/7,#N/A,#N/A
2001/5/8,#N/A,#N/A
2001/5/9,#N/A,#N/A
2001/5/10,#N/A,#N/A
2001/5/11,#N/A,#N/A
2001/5/12,#N/A,#N/A
2001/5/13,#N/A,#N/A
2001/5/14,#N/A,#N/A
2001/5/15,#N/A,#N/A
2001/5/16,#N/A,#N/A
2001/5/17,#N/A,#N/A
2001/5/18,#N/A,#N/A
2001/5/19,#N/A,#N/A
2001/5/20,#N/A,#N/A
2001/5/21,#N/A,#N/A
2001/5/22,#N/A,#N/A
2001/5/23,#N/A,#N/A
2001/5/24,#N/A,#N/A
2001/5/25,#N/A,#N/A
2001/5/26,#N/A,#N/A
2001/5/27,#N/A,#N/A
2001/5/28,#N/A,#N/A
2001/5/29,#N/A,#N/A
2001/5/30,#N/A,#N/A
2001/5/31,#N/A,#N/A
2001/6/1,#N/A,#N/A
2001/6/2,#N/A,#N/A
2001/6/3,#N/A,#N/A
2001/6/4,#N/A,#N/A
2001/6/5,#N/A,#N/A
2001/6/6,#N/A,#N/A
2001/6/7,#N/A,#N/A
2001/6/8,#N/A,#N/A
2001/6/9,#N/A,#N/A
2001/6/10,#N/A,#N/A
2001/6/11,#N/A,#N/A
2001/6/12,#N/A,#N/A
2001/6/13,#N/A,#N/A
2001/6/14,#N/A,#N/A
2001/6/15,#N/A,#N/A
2001/6/16,#N/A,#N/A
2001/6/17,#N/A,#N/A
2001/6/18,#N/A,#N/A
2001/6/19,#N/A,#N/A
2001/6/20,#N/A,#N/A
2001/6/21,#N/A,#N/A
2001/6/22,#N/A,#N/A
2001/6/23,#N/A,#N/A
2001/6/24,#N/A,#N/A
2001/6/25,#N/A,#N/A
2001/6/26,#N/A,#N/A
